"Answer ID","Date Updated","Category","Product","Question","Keywords","Summary","Answer"
"119","03/28/2012 09:51 AM","Ihren Account verwenden","Schuhe","Wie zeige ich meine Bestellhistorie an?","Schuhe","Ihre Bestellhistorie anzeigen","<p>Sie können Ihre Accounthistorie nur anzeigen, wenn Sie sich auf unserer Site registriert haben. Wenn Sie bereits registriert sind, können Sie Ihre Account- und Bestellinformationen anzeigen und verwalten. Melden Sie sich bei Ihrem ""Account"" an (in der oberen rechten Ecke der Homepage). Auf der Seite zur Accountverwaltung können Sie Profil, Zahlungsinformationen, Adressbuch, Bestellungen, Wunschzettel und Geschenkelisten verwalten.</p>
<p><span style=""FONT-WEIGHT: bold"">Hinweis:</span> Internationale Bestellungen werden möglicherweise erst nach bis zu 5 Tagen in Ihrer Bestellhistorie angezeigt. Für international versandte Bestellungen sind Verfolgungsinformationen erst verfügbar, wenn die Artikel das Zentrallager in den USA verlassen haben. Bis zum Eingang der Artikel am Zentrallager in den USA kann es bis zu 10 Werktage dauern.</p>

"
"138","03/22/2012 02:11 PM","Versand","Einrichtungsgegenstände/Accessoires","Ich habe meine Bestellung nicht erhalten","Kein Wert","Ich habe meine Bestellung nicht erhalten","<p>Die meisten Bestellungen werden innerhalb einer geschätzten Lieferzeit von 5-10 Werktagen zugestellt.</p>
<p>Für über die Shopwebsite versandte Artikel stehen jedoch keine Verfolgungsinformationen zur Verfügung.</p>
<p>Beachten Sie hinsichtlich des erwarteten Zustelltermins auch, dass die Zustellung bei internationalen Bestellungen länger dauert.</p>
<p>Ihre Möglichkeiten: Prüfen Sie, ob die E-Mail mit Ihrer Versandbestätigung Verfolgungsinformationen enthält, oder melden Sie sich bei ""Mein Account"" an, und klicken Sie auf ""Bestellstatus"". Suchen Sie hier nach Verfolgungsinformationen für Ihre Bestellung.</p>
<p>Fragen Sie bei Familienmitgliedern, Nachbarn, Kollegen, einem Hausverwalter oder anderen Personen nach, die möglicherweise Ihre Lieferung angenommen haben, wenn Sie bei einem Zustellversuch nicht anwesend waren. Möglicherweise hat der Zusteller die Lieferung während Ihrer Abwesenheit in der Nähe Ihrer Haus- oder Wohnungstür an einem nicht unmittelbar einsehbaren Ort abgelegt.</p>
<p>Sehen Sie auch an anderen nicht&#160;einsehbaren Orten wie Hintertüren, Garagen oder hinter Büschen nach.</p>
<p>Wenn Sie Ihre überfällige Lieferung auch nach Befolgen der oben&#160;beschriebenen Hinweise nicht finden können, wenden Sie sich an den Kundenservice.</p>

"
"138","03/22/2012 02:11 PM","Versand","Möbel","Ich habe meine Bestellung nicht erhalten","Kein Wert","Ich habe meine Bestellung nicht erhalten","<p>Die meisten Bestellungen werden innerhalb einer geschätzten Lieferzeit von 5-10 Werktagen zugestellt.</p>
<p>Für über die Shopwebsite versandte Artikel stehen jedoch keine Verfolgungsinformationen zur Verfügung.</p>
<p>Beachten Sie hinsichtlich des erwarteten Zustelltermins auch, dass die Zustellung bei internationalen Bestellungen länger dauert.</p>
<p>Ihre Möglichkeiten: Prüfen Sie, ob die E-Mail mit Ihrer Versandbestätigung Verfolgungsinformationen enthält, oder melden Sie sich bei ""Mein Account"" an, und klicken Sie auf ""Bestellstatus"". Suchen Sie hier nach Verfolgungsinformationen für Ihre Bestellung.</p>
<p>Fragen Sie bei Familienmitgliedern, Nachbarn, Kollegen, einem Hausverwalter oder anderen Personen nach, die möglicherweise Ihre Lieferung angenommen haben, wenn Sie bei einem Zustellversuch nicht anwesend waren. Möglicherweise hat der Zusteller die Lieferung während Ihrer Abwesenheit in der Nähe Ihrer Haus- oder Wohnungstür an einem nicht unmittelbar einsehbaren Ort abgelegt.</p>
<p>Sehen Sie auch an anderen nicht&#160;einsehbaren Orten wie Hintertüren, Garagen oder hinter Büschen nach.</p>
<p>Wenn Sie Ihre überfällige Lieferung auch nach Befolgen der oben&#160;beschriebenen Hinweise nicht finden können, wenden Sie sich an den Kundenservice.</p>

"
"138","03/22/2012 02:11 PM","Versand","Bekleidung","Ich habe meine Bestellung nicht erhalten","Kein Wert","Ich habe meine Bestellung nicht erhalten","<p>Die meisten Bestellungen werden innerhalb einer geschätzten Lieferzeit von 5-10 Werktagen zugestellt.</p>
<p>Für über die Shopwebsite versandte Artikel stehen jedoch keine Verfolgungsinformationen zur Verfügung.</p>
<p>Beachten Sie hinsichtlich des erwarteten Zustelltermins auch, dass die Zustellung bei internationalen Bestellungen länger dauert.</p>
<p>Ihre Möglichkeiten: Prüfen Sie, ob die E-Mail mit Ihrer Versandbestätigung Verfolgungsinformationen enthält, oder melden Sie sich bei ""Mein Account"" an, und klicken Sie auf ""Bestellstatus"". Suchen Sie hier nach Verfolgungsinformationen für Ihre Bestellung.</p>
<p>Fragen Sie bei Familienmitgliedern, Nachbarn, Kollegen, einem Hausverwalter oder anderen Personen nach, die möglicherweise Ihre Lieferung angenommen haben, wenn Sie bei einem Zustellversuch nicht anwesend waren. Möglicherweise hat der Zusteller die Lieferung während Ihrer Abwesenheit in der Nähe Ihrer Haus- oder Wohnungstür an einem nicht unmittelbar einsehbaren Ort abgelegt.</p>
<p>Sehen Sie auch an anderen nicht&#160;einsehbaren Orten wie Hintertüren, Garagen oder hinter Büschen nach.</p>
<p>Wenn Sie Ihre überfällige Lieferung auch nach Befolgen der oben&#160;beschriebenen Hinweise nicht finden können, wenden Sie sich an den Kundenservice.</p>

"
"138","03/22/2012 02:11 PM","Bestellungen","Einrichtungsgegenstände/Accessoires","Ich habe meine Bestellung nicht erhalten","Kein Wert","Ich habe meine Bestellung nicht erhalten","<p>Die meisten Bestellungen werden innerhalb einer geschätzten Lieferzeit von 5-10 Werktagen zugestellt.</p>
<p>Für über die Shopwebsite versandte Artikel stehen jedoch keine Verfolgungsinformationen zur Verfügung.</p>
<p>Beachten Sie hinsichtlich des erwarteten Zustelltermins auch, dass die Zustellung bei internationalen Bestellungen länger dauert.</p>
<p>Ihre Möglichkeiten: Prüfen Sie, ob die E-Mail mit Ihrer Versandbestätigung Verfolgungsinformationen enthält, oder melden Sie sich bei ""Mein Account"" an, und klicken Sie auf ""Bestellstatus"". Suchen Sie hier nach Verfolgungsinformationen für Ihre Bestellung.</p>
<p>Fragen Sie bei Familienmitgliedern, Nachbarn, Kollegen, einem Hausverwalter oder anderen Personen nach, die möglicherweise Ihre Lieferung angenommen haben, wenn Sie bei einem Zustellversuch nicht anwesend waren. Möglicherweise hat der Zusteller die Lieferung während Ihrer Abwesenheit in der Nähe Ihrer Haus- oder Wohnungstür an einem nicht unmittelbar einsehbaren Ort abgelegt.</p>
<p>Sehen Sie auch an anderen nicht&#160;einsehbaren Orten wie Hintertüren, Garagen oder hinter Büschen nach.</p>
<p>Wenn Sie Ihre überfällige Lieferung auch nach Befolgen der oben&#160;beschriebenen Hinweise nicht finden können, wenden Sie sich an den Kundenservice.</p>

"
"138","03/22/2012 02:11 PM","Bestellungen","Bekleidung","Ich habe meine Bestellung nicht erhalten","Kein Wert","Ich habe meine Bestellung nicht erhalten","<p>Die meisten Bestellungen werden innerhalb einer geschätzten Lieferzeit von 5-10 Werktagen zugestellt.</p>
<p>Für über die Shopwebsite versandte Artikel stehen jedoch keine Verfolgungsinformationen zur Verfügung.</p>
<p>Beachten Sie hinsichtlich des erwarteten Zustelltermins auch, dass die Zustellung bei internationalen Bestellungen länger dauert.</p>
<p>Ihre Möglichkeiten: Prüfen Sie, ob die E-Mail mit Ihrer Versandbestätigung Verfolgungsinformationen enthält, oder melden Sie sich bei ""Mein Account"" an, und klicken Sie auf ""Bestellstatus"". Suchen Sie hier nach Verfolgungsinformationen für Ihre Bestellung.</p>
<p>Fragen Sie bei Familienmitgliedern, Nachbarn, Kollegen, einem Hausverwalter oder anderen Personen nach, die möglicherweise Ihre Lieferung angenommen haben, wenn Sie bei einem Zustellversuch nicht anwesend waren. Möglicherweise hat der Zusteller die Lieferung während Ihrer Abwesenheit in der Nähe Ihrer Haus- oder Wohnungstür an einem nicht unmittelbar einsehbaren Ort abgelegt.</p>
<p>Sehen Sie auch an anderen nicht&#160;einsehbaren Orten wie Hintertüren, Garagen oder hinter Büschen nach.</p>
<p>Wenn Sie Ihre überfällige Lieferung auch nach Befolgen der oben&#160;beschriebenen Hinweise nicht finden können, wenden Sie sich an den Kundenservice.</p>

"
"138","03/22/2012 02:11 PM","Bestellungen","Schuhe","Ich habe meine Bestellung nicht erhalten","Kein Wert","Ich habe meine Bestellung nicht erhalten","<p>Die meisten Bestellungen werden innerhalb einer geschätzten Lieferzeit von 5-10 Werktagen zugestellt.</p>
<p>Für über die Shopwebsite versandte Artikel stehen jedoch keine Verfolgungsinformationen zur Verfügung.</p>
<p>Beachten Sie hinsichtlich des erwarteten Zustelltermins auch, dass die Zustellung bei internationalen Bestellungen länger dauert.</p>
<p>Ihre Möglichkeiten: Prüfen Sie, ob die E-Mail mit Ihrer Versandbestätigung Verfolgungsinformationen enthält, oder melden Sie sich bei ""Mein Account"" an, und klicken Sie auf ""Bestellstatus"". Suchen Sie hier nach Verfolgungsinformationen für Ihre Bestellung.</p>
<p>Fragen Sie bei Familienmitgliedern, Nachbarn, Kollegen, einem Hausverwalter oder anderen Personen nach, die möglicherweise Ihre Lieferung angenommen haben, wenn Sie bei einem Zustellversuch nicht anwesend waren. Möglicherweise hat der Zusteller die Lieferung während Ihrer Abwesenheit in der Nähe Ihrer Haus- oder Wohnungstür an einem nicht unmittelbar einsehbaren Ort abgelegt.</p>
<p>Sehen Sie auch an anderen nicht&#160;einsehbaren Orten wie Hintertüren, Garagen oder hinter Büschen nach.</p>
<p>Wenn Sie Ihre überfällige Lieferung auch nach Befolgen der oben&#160;beschriebenen Hinweise nicht finden können, wenden Sie sich an den Kundenservice.</p>

"
"138","03/22/2012 02:11 PM","Bestellungen","Möbel","Ich habe meine Bestellung nicht erhalten","Kein Wert","Ich habe meine Bestellung nicht erhalten","<p>Die meisten Bestellungen werden innerhalb einer geschätzten Lieferzeit von 5-10 Werktagen zugestellt.</p>
<p>Für über die Shopwebsite versandte Artikel stehen jedoch keine Verfolgungsinformationen zur Verfügung.</p>
<p>Beachten Sie hinsichtlich des erwarteten Zustelltermins auch, dass die Zustellung bei internationalen Bestellungen länger dauert.</p>
<p>Ihre Möglichkeiten: Prüfen Sie, ob die E-Mail mit Ihrer Versandbestätigung Verfolgungsinformationen enthält, oder melden Sie sich bei ""Mein Account"" an, und klicken Sie auf ""Bestellstatus"". Suchen Sie hier nach Verfolgungsinformationen für Ihre Bestellung.</p>
<p>Fragen Sie bei Familienmitgliedern, Nachbarn, Kollegen, einem Hausverwalter oder anderen Personen nach, die möglicherweise Ihre Lieferung angenommen haben, wenn Sie bei einem Zustellversuch nicht anwesend waren. Möglicherweise hat der Zusteller die Lieferung während Ihrer Abwesenheit in der Nähe Ihrer Haus- oder Wohnungstür an einem nicht unmittelbar einsehbaren Ort abgelegt.</p>
<p>Sehen Sie auch an anderen nicht&#160;einsehbaren Orten wie Hintertüren, Garagen oder hinter Büschen nach.</p>
<p>Wenn Sie Ihre überfällige Lieferung auch nach Befolgen der oben&#160;beschriebenen Hinweise nicht finden können, wenden Sie sich an den Kundenservice.</p>

"
"140","03/27/2012 03:50 PM","Produktinformationen","Bekleidung","Größentabellen für Kleidung","Bekleidung","Größentabellen für Kleidung","<p>Auf den Produktseiten für alle Bekleidungsartikel finden Sie ein Auswahlfeld für die&#160;Kleidergröße. Wir empfehlen Ihnen, vor der Auswahl einer&#160;Größe anhand der Größentabelle die für die entsprechenden Körpermaße empfohlene Kleidergröße zu&#160;ermitteln.</p>
<p>Moderne Kleidergrößen entsprechen dem aktuellen Stil und sind insgesamt kleiner&#160;geschnitten. Anhand der deutschen&#160;Größentabelle können deutsche&#160;Größen in US-Größen umgerechnet werden. Auf der Produktseite des jeweiligen Artikels erfahren Sie, welche Größentabelle für den Artikel relevant ist.</p>

"
"117","03/22/2012 01:21 PM","Ihren Account verwenden","Schuhe","Wie melde ich mich bei meinem Account an oder von meinem Account ab?","Kein Wert","Wie melde ich mich bei meinem Account an oder von meinem Account ab?","<b>Anmelden:</b> Klicken Sie in der oberen rechten Ecke der Seite auf den Link&#160;""Anmelden"".
<p>Wenn Sie bereits registriert sind, geben Sie unter ""Registrierter Kunde"" Ihre E-Mail-Adresse und Ihr Kennwort ein.</p>
<p>Klicken Sie auf <span style=""FONT-WEIGHT: bold"">Anmelden</span>, um sich bei Ihrem Account anzumelden.</p>
<p>Wenn Sie noch nicht registriert sind, geben Sie in das Feld ""E-Mail"" Ihre E-Mail-Adresse ein, und klicken Sie auf ""Meinen Account erstellen"".</p>
<p>Klicken Sie auf <span style=""FONT-WEIGHT: bold"">Anmelden</span>, um sich bei Ihrem Account anzumelden, nachdem dieser erstellt wurde.</p>
<p><b>Abmelden:</b> Sie haben zwei Möglichkeiten, um sich von Ihrem Account abzumelden.</p>
<p>Wenn Sie als registrierter Kunde angemeldet sind, klicken Sie in der oberen rechten Ecke der Homepage auf den Link ""Nicht Sie?"" oder auf den Link ""Abmelden"", um zur Anmeldeseite zurückzukehren.</p>
<p>Schließen Sie das Webbrowserfenster mit der ATG Store-Webseite, um sich automatisch abzumelden.</p>
<p>Wenn Sie Ihr Kennwort vergessen haben, klicken Sie auf den Link&#160;""Kennwort vergessen"", um Ihr Kennwort abzurufen.</p>

"
"117","03/22/2012 01:21 PM","Ihren Account verwenden","Bekleidung","Wie melde ich mich bei meinem Account an oder von meinem Account ab?","Kein Wert","Wie melde ich mich bei meinem Account an oder von meinem Account ab?","<b>Anmelden:</b> Klicken Sie in der oberen rechten Ecke der Seite auf den Link&#160;""Anmelden"".
<p>Wenn Sie bereits registriert sind, geben Sie unter ""Registrierter Kunde"" Ihre E-Mail-Adresse und Ihr Kennwort ein.</p>
<p>Klicken Sie auf <span style=""FONT-WEIGHT: bold"">Anmelden</span>, um sich bei Ihrem Account anzumelden.</p>
<p>Wenn Sie noch nicht registriert sind, geben Sie in das Feld ""E-Mail"" Ihre E-Mail-Adresse ein, und klicken Sie auf ""Meinen Account erstellen"".</p>
<p>Klicken Sie auf <span style=""FONT-WEIGHT: bold"">Anmelden</span>, um sich bei Ihrem Account anzumelden, nachdem dieser erstellt wurde.</p>
<p><b>Abmelden:</b> Sie haben zwei Möglichkeiten, um sich von Ihrem Account abzumelden.</p>
<p>Wenn Sie als registrierter Kunde angemeldet sind, klicken Sie in der oberen rechten Ecke der Homepage auf den Link ""Nicht Sie?"" oder auf den Link ""Abmelden"", um zur Anmeldeseite zurückzukehren.</p>
<p>Schließen Sie das Webbrowserfenster mit der ATG Store-Webseite, um sich automatisch abzumelden.</p>
<p>Wenn Sie Ihr Kennwort vergessen haben, klicken Sie auf den Link&#160;""Kennwort vergessen"", um Ihr Kennwort abzurufen.</p>

"
"117","03/22/2012 01:21 PM","Ihren Account verwenden","Einrichtungsgegenstände/Accessoires","Wie melde ich mich bei meinem Account an oder von meinem Account ab?","Kein Wert","Wie melde ich mich bei meinem Account an oder von meinem Account ab?","<b>Anmelden:</b> Klicken Sie in der oberen rechten Ecke der Seite auf den Link&#160;""Anmelden"".
<p>Wenn Sie bereits registriert sind, geben Sie unter ""Registrierter Kunde"" Ihre E-Mail-Adresse und Ihr Kennwort ein.</p>
<p>Klicken Sie auf <span style=""FONT-WEIGHT: bold"">Anmelden</span>, um sich bei Ihrem Account anzumelden.</p>
<p>Wenn Sie noch nicht registriert sind, geben Sie in das Feld ""E-Mail"" Ihre E-Mail-Adresse ein, und klicken Sie auf ""Meinen Account erstellen"".</p>
<p>Klicken Sie auf <span style=""FONT-WEIGHT: bold"">Anmelden</span>, um sich bei Ihrem Account anzumelden, nachdem dieser erstellt wurde.</p>
<p><b>Abmelden:</b> Sie haben zwei Möglichkeiten, um sich von Ihrem Account abzumelden.</p>
<p>Wenn Sie als registrierter Kunde angemeldet sind, klicken Sie in der oberen rechten Ecke der Homepage auf den Link ""Nicht Sie?"" oder auf den Link ""Abmelden"", um zur Anmeldeseite zurückzukehren.</p>
<p>Schließen Sie das Webbrowserfenster mit der ATG Store-Webseite, um sich automatisch abzumelden.</p>
<p>Wenn Sie Ihr Kennwort vergessen haben, klicken Sie auf den Link&#160;""Kennwort vergessen"", um Ihr Kennwort abzurufen.</p>

"
"153","03/27/2012 03:56 PM","Produktinformationen","Bekleidung","Produktverpackung für Bekleidung
","Bekleidung","Produktverpackung für Bekleidung
","Aufgrund von Änderungen an der Verpackung durch den Hersteller kann die Produktverpackung von der gezeigten&#160;Abbildung für den ausgewählten Bekleidungsartikel abweichen.
"
"123","03/22/2012 01:34 PM","Firmeninformationen","Schuhe","Info zu ATG Store","Kein Wert","Info zu ATG Store","<p>ATG Store mit dem zugehörigen Home Store ist ein Onlinehandel mit einem breiten Angebot an qualitativ hochwertigen Markenartikeln zu Discountpreisen. Das Angebot umfasst unter anderem Möbel, Dekorationsartikel, Uhren, Schmuck, Bekleidung, Schuhe und Accessoires. Wir bieten Kunden eine bequeme Möglichkeit zur Schnäppchensuche, während Hersteller, Distributoren und andere Händler einen alternativen Vertriebskanal erhalten.</p>

"
"123","03/22/2012 01:34 PM","Firmeninformationen","Bekleidung","Info zu ATG Store","Kein Wert","Info zu ATG Store","<p>ATG Store mit dem zugehörigen Home Store ist ein Onlinehandel mit einem breiten Angebot an qualitativ hochwertigen Markenartikeln zu Discountpreisen. Das Angebot umfasst unter anderem Möbel, Dekorationsartikel, Uhren, Schmuck, Bekleidung, Schuhe und Accessoires. Wir bieten Kunden eine bequeme Möglichkeit zur Schnäppchensuche, während Hersteller, Distributoren und andere Händler einen alternativen Vertriebskanal erhalten.</p>

"
"111","03/28/2012 09:47 AM","Rücksendungen","Bekleidung","Wie sende ich einen Artikel zurück?","Möbel","Wie sende ich einen Artikel zurück?","<p>Gehen Sie wie folgt vor, um einen Artikel zurückzusenden.</p>
<ol>
<li>Rufen Sie die Bestellung mit dem Artikel auf, den Sie zurücksenden möchten.</li>
<li>Wählen Sie den Artikel aus, den Sie zurücksenden möchten.</li>
<li>Wählen Sie die Rücksendemenge aus.</li>
<li>Klicken Sie auf ""Fortsetzen"".</li>
<li>Befolgen Sie die Onlineanweisungen.</li>
</ol>
<p>Nachdem Sie diese Schritte befolgt haben, senden wir Ihnen per E-Mail ein Versandetikett und Anweisungen für die Rücksendung sowie Informationen zu Standorten für die Paketaufgabe zu. Drucken Sie das Versandetikett aus, und bringen Sie es am Paket an.</p>

"
"123","03/22/2012 01:34 PM","Firmeninformationen","Einrichtungsgegenstände/Accessoires","Info zu ATG Store","Kein Wert","Info zu ATG Store","<p>ATG Store mit dem zugehörigen Home Store ist ein Onlinehandel mit einem breiten Angebot an qualitativ hochwertigen Markenartikeln zu Discountpreisen. Das Angebot umfasst unter anderem Möbel, Dekorationsartikel, Uhren, Schmuck, Bekleidung, Schuhe und Accessoires. Wir bieten Kunden eine bequeme Möglichkeit zur Schnäppchensuche, während Hersteller, Distributoren und andere Händler einen alternativen Vertriebskanal erhalten.</p>

"
